Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C7,4u7,C_0805_2012Metric,137.99,-87.18,-90,bottom
C8,4u7,C_0805_2012Metric,131.69,-83.18,90,bottom
C9,4u7,C_0805_2012Metric,140.04,-87.2,90,bottom
C11,4u7,C_0805_2012Metric,153.65,-70.8,-90,bottom
C12,4u7,C_0805_2012Metric,135.92,-87.16,90,bottom
C13,4u7,C_0805_2012Metric,151.38,-72.45,90,bottom
C14,0.47u,C_0402_1005Metric,149.98,-88.14,90,bottom
C16,0.47u,C_0402_1005Metric,133.14,-90.71,180,bottom
C19,0.47u,C_0402_1005Metric,149.83,-72.03,90,bottom
C20,0.47u,C_0402_1005Metric,131.5,-86.85,90,bottom
C21,0.47u,C_0402_1005Metric,140.35,-98.18,-90,bottom
C22,0.47u,C_0402_1005Metric,152.06,-85.07,0,bottom
C25,4u7,C_0805_2012Metric,129.5,-87.7,-90,bottom
C26,4u7,C_0805_2012Metric,146.99,-80.01,90,bottom
C27,4u7,C_0805_2012Metric,127.36,-85.09,90,bottom
C28,4u7,C_0805_2012Metric,145.35,-72.84,90,bottom
C29,0.47u,C_0402_1005Metric,147.95,-83.3,-90,bottom
C30,0.47u,C_0402_1005Metric,145.06,-83.27,-90,bottom
C31,0.47u,C_0402_1005Metric,142.82,-83.3,-90,bottom
C32,0.47u,C_0402_1005Metric,139.01,-83.25,-90,bottom
C34,100u,C_1206_3216Metric,122.88,-82.67,-90,bottom
C35,4u7,C_0805_2012Metric,142.77,-76.67,90,bottom
C36,4u7,C_0805_2012Metric,140.72,-76.65,90,bottom
C37,4u7,C_0805_2012Metric,138.63,-76.64,90,bottom
C38,4u7,C_0805_2012Metric,136.48,-76.63,90,bottom
C39,4u7,C_0805_2012Metric,134.38,-76.61,-90,bottom
C40,0.47u,C_0402_1005Metric,139.72,-80.27,90,bottom
C41,0.47u,C_0402_1005Metric,141.96,-81.29,90,bottom
C42,0.47u,C_0402_1005Metric,143.98,-81.25,90,bottom
C43,0.47u,C_0402_1005Metric,144.89,-79.17,-90,bottom
R7,4k7,R_0402_1005Metric,136.7,-79.4,-90,bottom
R9,4k7,R_0402_1005Metric,135.93,-82.9,90,bottom
R10,4k7,R_0402_1005Metric,141.05,-83.31,-90,bottom
R15,4k7,R_0402_1005Metric,136.68,-98.2,-90,bottom
R16,4k7,R_0402_1005Metric,139.19,-98.21,-90,bottom
R17,4k7,R_0402_1005Metric,137.94,-98.2,90,bottom
C1,4u7,C_0805_2012Metric,117.1015,-76.984,180,top
C2,10u,C_0805_2012Metric,117.1015,-70.984,0,top
C3,4u7,C_0805_2012Metric,117.219,-92.694,180,top
C4,10u,C_0805_2012Metric,117.119,-86.894,0,top
C5,4u7,C_0805_2012Metric,117.144,-84.769,180,top
C6,10u,C_0805_2012Metric,117.094,-79.069,0,top
C10,4u7,C_0805_2012Metric,125.7,-72.8,-90,top
C15,0.47u,C_0402_1005Metric,159.9,-88.52,90,top
C17,0.47u,C_0402_1005Metric,134.45,-97.61,90,top
C18,0.47u,C_0402_1005Metric,156.59,-82.95,180,top
C23,47u,C_1206_3216Metric,123.0015,-72.684,-90,top
C24,47u,C_1206_3216Metric,123.0065,-88.944,-90,top
C33,100u,C_1206_3216Metric,122.8815,-81.419,-90,top
C44,0.47u,C_0402_1005Metric,120.864,-73.484,90,top
C45,0.47u,C_0402_1005Metric,120.919,-89.694,-90,top
C46,0.47u,C_0402_1005Metric,120.944,-82.419,-90,top
D1,DONE,LED_0603_1608Metric,156.65,-79.17,180,top
D2,VCC,LED_0603_1608Metric,113,-97.8,0,top
D3,USER_LED,LED_0603_1608Metric,160.77,-97.86,0,top
D4,USER_LED,LED_0603_1608Metric,160.78,-100.75,0,top
D5,USER_LED,LED_0603_1608Metric,160.77,-94.73,0,top
L1,2u2,IND_LQH3NPN2R2MJRL,113.1015,-73.984,90,top
L2,2u2,IND_LQH3NPN2R2MJRL,113.219,-89.794,90,top
L3,2u2,IND_LQH3NPN2R2MJRL,113.094,-81.919,90,top
R1,100k,R_0402_1005Metric,119.839,-71.534,-90,top
R2,22k,R_0402_1005Metric,119.839,-73.474,90,top
R3,120k,R_0402_1005Metric,119.919,-89.694,-90,top
R4,240k,R_0402_1005Metric,119.919,-87.694,-90,top
R5,22k,R_0402_1005Metric,119.794,-80.419,-90,top
R6,33k,R_0402_1005Metric,119.794,-82.419,-90,top
R8,4k7,R_0402_1005Metric,126.9,-88.625,0,top
R11,330,R_0402_1005Metric,156.59,-81.8,0,top
R12,10k,R_0402_1005Metric,160.79,-99.34,0,top
R13,10k,R_0402_1005Metric,112.9875,-99.2,180,top
R14,10k,R_0402_1005Metric,160.87,-102.2,0,top
R18,100,R_0402_1005Metric,156.6,-80.65,180,top
R19,10k,R_0402_1005Metric,160.73,-96.21,0,top
U1,XC7A35T-FGG484,FB-BGA-484_23.0x23.0mm_Layout22x22_P1.0mm,141.93,-82.6,-90,top
U2,TLV62565DBVR,SOT-23-5,117.1015,-73.984,0,top
U3,TLV62565DBVR,SOT-23-5,117.219,-89.794,0,top
U4,TLV62565DBVR,SOT-23-5,117.094,-81.919,0,top
U5,MX25L12833F,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,138.015,-98.7025,90,top
X1,SG-8018CE,Crystal_SMD_3225-4Pin_3.2x2.5mm,157.4,-89.2,90,top
