Ref,Val,Package,PosX,PosY,Rot,Side
"C7","4u7","C_0805_2012Metric",137.990000,-87.180000,-90.000000,bottom
"C8","4u7","C_0805_2012Metric",131.690000,-83.180000,90.000000,bottom
"C9","4u7","C_0805_2012Metric",140.040000,-87.200000,90.000000,bottom
"C11","4u7","C_0805_2012Metric",153.650000,-70.800000,-90.000000,bottom
"C12","4u7","C_0805_2012Metric",135.920000,-87.160000,90.000000,bottom
"C13","4u7","C_0805_2012Metric",151.380000,-72.450000,90.000000,bottom
"C14","0.47u","C_0402_1005Metric",149.980000,-88.140000,90.000000,bottom
"C16","0.47u","C_0402_1005Metric",133.140000,-90.710000,180.000000,bottom
"C19","0.47u","C_0402_1005Metric",149.830000,-72.030000,90.000000,bottom
"C20","0.47u","C_0402_1005Metric",131.500000,-86.850000,90.000000,bottom
"C21","0.47u","C_0402_1005Metric",140.350000,-98.180000,-90.000000,bottom
"C22","0.47u","C_0402_1005Metric",152.060000,-85.070000,0.000000,bottom
"C25","4u7","C_0805_2012Metric",129.500000,-87.700000,-90.000000,bottom
"C26","4u7","C_0805_2012Metric",146.990000,-80.010000,90.000000,bottom
"C27","4u7","C_0805_2012Metric",127.360000,-85.090000,90.000000,bottom
"C28","4u7","C_0805_2012Metric",145.350000,-72.840000,90.000000,bottom
"C29","0.47u","C_0402_1005Metric",147.950000,-83.300000,-90.000000,bottom
"C30","0.47u","C_0402_1005Metric",145.060000,-83.270000,-90.000000,bottom
"C31","0.47u","C_0402_1005Metric",142.820000,-83.300000,-90.000000,bottom
"C32","0.47u","C_0402_1005Metric",139.010000,-83.250000,-90.000000,bottom
"C34","100u","C_1206_3216Metric",122.880000,-82.670000,-90.000000,bottom
"C35","4u7","C_0805_2012Metric",142.770000,-76.670000,90.000000,bottom
"C36","4u7","C_0805_2012Metric",140.720000,-76.650000,90.000000,bottom
"C37","4u7","C_0805_2012Metric",138.630000,-76.640000,90.000000,bottom
"C38","4u7","C_0805_2012Metric",136.480000,-76.630000,90.000000,bottom
"C39","4u7","C_0805_2012Metric",134.380000,-76.610000,-90.000000,bottom
"C40","0.47u","C_0402_1005Metric",139.720000,-80.270000,90.000000,bottom
"C41","0.47u","C_0402_1005Metric",141.960000,-81.290000,90.000000,bottom
"C42","0.47u","C_0402_1005Metric",143.980000,-81.250000,90.000000,bottom
"C43","0.47u","C_0402_1005Metric",144.890000,-79.170000,-90.000000,bottom
"J2","Conn_02x20_Odd_Even","SAMTEC_TFM-120-02-S-D-A",166.040000,-84.802500,90.000000,bottom
"J3","Conn_02x20_Odd_Even","SAMTEC_TFM-120-02-S-D-A",140.427500,-64.190000,0.000000,bottom
"J4","Conn_02x20_Odd_Even","SAMTEC_TFM-120-02-S-D-A",140.427500,-105.990000,180.000000,bottom
"R7","4k7","R_0402_1005Metric",136.700000,-79.400000,-90.000000,bottom
"R9","4k7","R_0402_1005Metric",135.930000,-82.900000,90.000000,bottom
"R10","4k7","R_0402_1005Metric",141.050000,-83.310000,-90.000000,bottom
"R15","4k7","R_0402_1005Metric",136.680000,-98.200000,-90.000000,bottom
"R16","4k7","R_0402_1005Metric",139.190000,-98.210000,-90.000000,bottom
"R17","4k7","R_0402_1005Metric",137.940000,-98.200000,90.000000,bottom
