"Source:","D:\MASTER_2021\FPGA_KITS_Transciver\ARTIX7_SOM\cp_som_one\kicad\som_fpga.kicad_sch"
"Date:","10/11/2025 7:08:35 AM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","88"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C3, C5, C7, C8, C9, C10, C11, C12, C13, C25, C26, C27, C28, C35, C36, C37, C38, C39","19","4u7","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C2, C4, C6","3","10u","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C14, C15, C16, C17, C18, C19, C20, C21, C22, C29, C30, C31, C32, C40, C41, C42, C43","17","0.47u","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C23, C24","2","47u","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol","",""
"C33, C34","2","100u","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol","",""
"C44, C45, C46","3","0.47u","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","","DNP"
"D1","1","DONE","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode","",""
"D2","1","VCC","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode","",""
"D3, D4, D5","3","USER_LED","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode","",""
"H1, H2, H3, H4","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","Mounting Hole with connection","","DNP"
"J1","1","Conn_01x02_Pin","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","","DNP"
"J2, J3, J4","3","Conn_02x20_Odd_Even","Conn_02x20_Odd_Even","samtec:SAMTEC_TFM-120-02-S-D-A","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"L1, L2, L3","3","2u2","L_Small","inductors:IND_LQH3NPN2R2MJRL","Inductor, small symbol","",""
"R1","1","100k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R2, R5","2","22k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R3","1","120k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R4","1","240k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R6","1","33k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R7, R8, R9, R10, R15, R16, R17","7","4k7","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R11","1","330","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R12, R13, R14, R19","4","10k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R18","1","100","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"U1","1","XC7A35T-FGG484","XC7A35T-FGG484","Package_BGA:FB-BGA-484_23.0x23.0mm_Layout22x22_P1.0mm","Artix 7 T 35 XC7A35T-FGG484","",""
"U2, U3, U4","3","TLV62565DBVR","NCP1529A","Package_TO_SOT_SMD:SOT-23-5","1.7MHz, 1A, High Efficiency, Low Ripple, Adjustable Output Voltage Step-down Converter, SOT-23-5","",""
"U5","1","MX25L12833F","MX25R3235FM2xx0","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm","32-Mbit, Wide Range Voltage SPI Serial Flash Memory, SOP-8","",""
"U6","1","cp_logo25mm","cp_logo25mm","cplogo:logo25mm","","","DNP"
"X1","1","SG-8018CE","SG-5032CCN","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","CMOS Clock Oscillator 2.5 to 50 MHz","",""
